Material,Open quantity
S-90000672,172
S-90000680,240
S-90000681,150
S-90000682,553
S-90000685,10
S-90000687,45
S-90000688,100
S-90000689,152
S-90000691,50
S-90000693,70
S-90000694,170
S-90000696,80
S-90000697,30
S-90000698,120
S-90000700,100
S-90000708,3
S-90000710,221
S-90000711,50
S-90000714,181
S-90000757,60
S-90000763,10
S-90000765,11
S-90000766,14
S-90000767,32
S-90000769,4
S-90000772,5
S-90000782,6
S-90000787,2
S-90000794,75
S-90000795,6
S-90000800,60
S-90000807,136
S-90000809,2
S-90000814,78
S-90000815,20
S-90000817,2
S-90000821,28
S-90000827,4
S-90000831,10
S-90000834,4
S-90000835,1
S-90000984,5
S-90000987,35
S-90000991,10
S-90000992,10
S-90000993,10
S-90000996,1
S-90001030,1
S-90001033,4
S-90001034,4
S-90001035,4
S-90001246,15
S-90001257,6
S-90001264,3
S-90001265,12
S-90001266,100
S-90001268,300
S-90001269,274
S-90001273,100
S-90001274,100
S-90001275,100
S-90001293,4
S-90001336,12
S-90001352,20
S-90001353,24
S-90001354,24
S-90001377,4
S-90001532,20
S-90001533,40
S-90001593,2
S-90001594,70
S-90001595,56
S-90001599,4
S-90001602,100
S-90001604,6
S-90001611,7
S-90001612,16
S-90001620,18
S-90001621,6
S-90001622,38
S-90001773,12
S-90001774,5
S-90001777,72
S-90001779,5
S-90001814,20
S-90001836,270
S-90001839,20
S-90001850,12
S-90001872,20
S-90001873,20
S-90001874,20
S-90001964,48
S-90001965,48
S-90001976,48
S-90002022,40
S-90002025,100
S-90002032,5
S-90002041,105
S-90002046,20
S-90002048,115
S-90002065,20
S-90002107,20
S-90002110,40
S-90002178,18
S-90002347,150
S-90002431,22
S-90002432,10
S-90002433,48
S-90002456,21
S-90002460,4
S-90002461,2
S-90002466,14
S-90002467,4
S-90002501,316
S-90002507,48
S-90002508,48
S-90002521,4
S-90002522,1
S-90002523,1
S-90002572,10
S-90002573,10
S-90002574,10
S-90002578,12
S-90002579,10
S-90002587,7
S-90002588,1
S-90002589,32
S-90002591,35
S-90002592,40
S-90002593,60
S-90002597,20
S-90002598,15
S-90002599,12
S-90002602,5
S-90002610,30
S-KDARY48BRN,3
S-KDAST48BRN,20
S-PB12PLDGTCRML,2
S-PB12PLDGTRSBY,2
S-PB12PLDGTSONX,2
S-PT12PLDGTCRML,2
S-PT12PLDGTRSBY,2
S-PT12PLDGTSONX,2
SB48IVY,2192
SEAWIND48IVY,2055
SEAWIND48LB,2368
SEAWIND48OPW,563
SEN48OPW,20
SMART48IVY,156
SMART48LB,528
SMART48MB,204
SMART48OPW,28
SPLITZ48MIV,180
SPLITZ48SWT,176
STAR22048WHT,2420
SUPERBRIZDEC48BKWT,1112
SUPERBRIZDEC48SLWT,1848
SUPERBRIZDEC48SMBR,3232
TA12AG-GRD,14
TA6AG,196
TFWIND16AG-2U-DBL,120
TRIT48ABR,898
TRIT48ACR,908
TRIT48BST,800
ULT48BRN,96
ULT48IVY,164
ULT48OPW,16
URANUS48BLK,318
URANUS48IVY,660
VENTILUS10WHT,1696
VENTILUS6IVY,280
VENTILUS6WHT,864
VENTILUS8IVY,208
VENTILUS8WHT,888
WINDSTARFARRATA20,3565
WMFIZZAIR12OPW,1170
WMFIZZAIRHS16OPW,639
WMWINDFLO16OPW,204
WWHE48LB,100
WWHE48OPW,4
WWHE56OPW,188
WWPS48LB,400
