Material,Unrestricted
DVN48IBL,2
DVN48SWT,54
ENT48BNC,4
ENT48BRN,76
ENT48OPW,120
ESAV48OPW-REM,60
EXHD300-4-1,863
EXHD380-4-1,694
EXHD380-4-3,1
EXHD380-6-1,6
EXHD450-4-1,638
EXHD450-4-3,20
EXHD450-6-1,1
EXHD600-6-3,6
FLUXAIR9OPW,264
FLY48EMBER,146
FLY48SWT,102
HLB48BRN,420
HLB48IVY,16
HLB48OPW,4
HS24BRN,20
HS36BRN,1580
HS36IVY,16
HS36OPW,24
HS42BRN,192
HS42IVY,148
HS42OPW,24
HS48BRN,5832
HS48BRN-I,24
HS48IVY,588
HS48OPW,4
HS48OPW-I,76
HS56BRN,232
HS56IVY,24
HS56OPW,316
HSDCPRM48AGD,264
HSDCPRM48GGD,168
HSDCPRM48PEL,328
HSDCR48BRN,24
HSDCR48IVY,196
HSPLUS48BRN,300
HSPLUS48IVY,40
HSPLUS48OPW,36
JUPITER48BRASS,53
JURA48AMB,48
JURA48OPW,16
JURA48PIVY,20
KAN52ACR,4
KAN52BST,2
KAN52GMT,18
KAN52RBN,6
KAN52SPW,24
LUSTER52PSWT,32
LUSTER52RBN,78
MOUNTAIR6IVY,380
MOUNTAIR6WHT,340
MTBZ48BRN,4
NEOBRZ48BRN,200
NEOBRZ48IVY,36
NEOBRZ48OPW,1040
NEOBRZDEC48IVY,12
NEOBRZDEC48OPW,4
NEOSTARFARRATA20,640
PAVAN48IVY,64
PAVAN48LB,1212
PAVAN48OPW,96
PFMINISAPPY16OPW,18
PFSTRM2-18BLK,30
PFWIND16CRMBLK,4
PVNDEC48OPW,4
RIV24ABR,4
RIV24ACR,4
RIV24OPW,64
RIV36BRN,144
RIV48BNC,260
RIV48BRN,996
RIV48OPW,4492
RIVDASHHS4BRN,90
RIVDASHHS4IVY,60
RIVDASHHS6BRN,4
RIVDASHHS6IVY,59
RIVDASHHS6WHT,782
RIVSPRINTHS4BLK,6
RIVSPRINTHS4BRN,66
RIVSPRINTHS4IVY,48
RIVSPRINTHS4WHT,6
RIVSPRINTHS6IVY,156
RIVSPRINTHS6WHT,641
RIVSS48BRN,3
RIVSS48OPW,3
S-102000473,8
S-102000522,4
S-102001096,1
S-102001098,1
S-102001101,5
S-102001224,1
S-102001257,2
S-102001445,2400
S-102001446,502
S-102001488,3900000
S-90000113,121
S-90000248,280
S-90000259,15
S-90000260,50
S-90000319,54
S-90000321,55
S-90000325,48
S-90000327,48
S-90000333,14
S-90000342,24
S-90000343,13
S-90000344,24
S-90000361,37
S-90000365,3
S-90000366,2
S-90000376,132
S-90000380,96
S-90000391,78
S-90000392,68
S-90000402,10
S-90000407,4
S-90000408,14
S-90000409,10
S-90000413,32
S-90000441,15
S-90000454,8
S-90000456,4
S-90000459,68
S-90000467,4
S-90000494,773
S-90000514,37
S-90000515,24
S-90000516,16
S-90000521,4
S-90000530,34
S-90000531,12
S-90000568,8
S-90000569,8
S-90000575,25
S-90000577,88
S-90000579,544
S-90000601,22
S-90000604,35
S-90000611,2
S-90000612,60
S-90000614,4
S-90000615,20
S-90000666,130
S-90000667,145
S-90000672,112
S-90000680,150
S-90000681,150
S-90000682,350
S-90000687,30
S-90000689,2
S-90000691,50
S-90000692,60
S-90000693,70
S-90000694,169
S-90000696,40
S-90000697,20
S-90000698,90
S-90000700,50
S-90000705,264
S-90000711,100
S-90000714,90
S-90000751,20
S-90000763,10
S-90000765,11
S-90000766,14
S-90000767,18
S-90000769,4
S-90000782,6
S-90000787,2
S-90000794,29
S-90000795,6
S-90000800,60
S-90000807,86
S-90000809,2
S-90000814,78
S-90000815,20
S-90000817,2
S-90000821,28
S-90000823,2
S-90000827,4
S-90000831,10
S-90000834,4
S-90000982,5
S-90000983,10
S-90000984,5
S-90000985,5
S-90000987,110
S-90000991,10
S-90000992,10
S-90000993,10
S-90000996,1
S-90001036,5
S-90001038,2
S-90001260,5
S-90001261,7
S-90001262,10
S-90001263,16
S-90001293,4
S-90001352,20
S-90001532,20
S-90001533,40
S-90001595,32
S-90001596,12
S-90001597,20
S-90001599,4
S-90001602,196
S-90001604,6
S-90001611,7
S-90001612,4
S-90001622,32
S-90001624,4
S-90001773,17
S-90001774,4
S-90001778,10
S-90001813,15
S-90001839,30
S-90002178,82
S-90002431,22
S-90002432,10
S-90002457,23
S-90002471,24
S-90002501,216
S-90002572,10
S-90002574,10
S-90002575,3
S-90002576,3
S-90002577,3
S-90002578,6
S-90002587,29
S-90002591,5
S-90002592,20
S-90002593,20
S-90002597,2
S-90002598,7
S-90002599,4
S-KDARY48BRN,3
SB48IVY,1756
SB48LB,1108
SB48OPW,476
SEAWIND48IVY,3772
SEAWIND48LB,5116
SEAWIND48OPW,1588
SPLITZ48MIV,180
SPLITZ48SWT,176
STAR22048WHT,288
SUPERBRIZDEC48BKWT,1220
SUPERBRIZDEC48SLWT,20
SUPERBRIZDEC48SMBR,240
TA12AG-GRD,14
TA6AG,360
TFWIND16AG-2U-DBL,120
TITANIS48RBN,186
TITANIS48VNL,120
TRIT48ABR,356
TRIT48ACR,472
TRIT48BST,384
TRITPRIME48RBNBST,36
TRITPRIME48RBNCPR,112
TRITPRIME48SWTCRM,50
TRITPRIMEM48RBNBRS,102
TWL48FRD,202
TWL48SWT,4
TWT48PGR,14
ULT48IVY,96
URANUS48BLK,6
URANUS48IVY,24
VENTILUS8BLK,8
VENTILUS8WHT,80
WINDSTARFARRATA20,66
WINZER48OPW,56
WINZER56LB,148
WINZER56OPW,60
WMFIZZAIR12OPW,165
WMFIZZAIRHS16OPW,534
WMSDX16OPW-2U-OPW,8
WMSTRM2-18BLK,6
WMWINDFLO12OPW,2490
WMWINDFLO16OPW,1284
WMWINDFLO16WNRD,39
WWHE48LB,4
WWHE56OPW,136
WWPS48LB,796
WWPS48OPW,1392
XLRN48HGD,10
XLRN48LSL,20
